nest_installation_date,nest_collection_date,release,site,frame_id,nest_code,nest_id,provision,transfer_id,sex,emergence_startdate,emergence,emergence_days,provision_mass,protein,lipid,metabarcoding,N_trips,avg_duration_trip,N_days_beeactive,Remarks,
5/16/24,6/7/24,2,Natalie,NT,III-H-1,,"Larvae, Pollen",I-B-4,F,3/19/25,3/27/25,8,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-I-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NT,III-I-1,,"Larvae, Pollen",I-C-4,F,3/19/25,3/27/25,8,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NB,III-J-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NB,III-I-2,,"Larvae, Pollen",I-A-6,F,3/19/25,3/25/25,6,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NB,III-I-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Natalie,NB,III-H-1,,"Larvae, Pollen",I-B-6,F,3/19/25,3/24/25,5,,,,,,,,,2 nests for Natalie site in round 2
5/16/24,6/7/24,2,Mendels,MT,I-A-11,1,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-10,1,"Larvae, Pollen",II-A-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-9,1,"Larvae, Pollen",II-B-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-8,1,"Larvae, Pollen",II-C-1,M,3/19/25,3/25/25,6,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-7,1,"Larvae, Pollen",II-A-2,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-6,1,"Larvae, Pollen",II-B-2,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-5,1,"Larvae, Pollen",II-C-2,M,3/19/25,3/20/25,1,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-4,1,"Larvae, Pollen",II-A-3,F,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-3,1,"Larvae, Pollen",II-B-3,F,3/19/25,3/25/25,6,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-2,1,"Larvae, Pollen",II-C-3,F,3/19/25,3/25/25,6,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-A-1,1,"Larvae, Pollen",II-A-4,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-B-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-C-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-C-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-C-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-D-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-D-2,,"Larvae, Pollen",II-B-4,F,3/19/25,3/31/25,12,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-D-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-E-4,,"Larvae, Pollen",II-C-4,M,3/19/25,3/31/25,12,,,,,,,,Not emerged,
5/16/24,6/7/24,2,Mendels,MT,I-E-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-E-2,,"Larvae, Pollen",II-A-5,F,3/19/25,3/27/25,8,,,,,,,,,not from the same cavities
5/16/24,6/7/24,2,Mendels,MT,I-E-1,,"Larvae, Pollen",II-B-5,F,3/19/25,3/27/25,8,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-F-3,,"Larvae, Pollen",II-C-5,M,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-F-2,,"Larvae, Pollen",II-A-6,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-F-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-G-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-G-2,,"Larvae, Pollen",II-B-6,F,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-G-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-H-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,I-H-1,,"Larvae, Pollen",II-6-C,F,3/19/25,3/25/25,6,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-12,21,"Larvae, Pollen",I-A-7,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-11,21,"Larvae, Pollen",I-B-7,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-10,21,"Larvae, Pollen",I-C-7,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-9,21,"Larvae, Pollen",I-A-8,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-8,21,"Larvae, Pollen",I-B-8,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-7,21,"Larvae, Pollen",I-C-8,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-6,21,"Larvae, Pollen",III-A-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-5,21,"Larvae, Pollen",III-B-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-4,21,"Larvae, Pollen",III-C-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-3,21,"Larvae, Pollen",III-A-2,F,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-A-2,21,Pollen,,,,,,,,,,,,,,empty pollen cell in between
5/16/24,6/7/24,2,Mendels,MT,II-A-1,21,"Larvae, Pollen",III-B-2,F,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-C-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-C-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-C-1,,Larvae,III-C-2,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-D-3,,Larvae,III-A-3,F,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-D-2,,"Larvae, Pollen",III-B-3,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-D-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-E-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-E-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-E-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-F-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-F-1,,"Larvae, Pollen",III-C-3,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-G-3,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-G-2,,"Larvae, Pollen",III-B-4,M,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-G-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-H-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-I-2,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-I-1,,"Larvae, Pollen",III-A-4,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-10,20,"Larvae, Pollen",III-C-4,M,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-9,20,"Larvae, Pollen",III-A-5,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-8,20,"Larvae, Pollen",III-B-5,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-6,20,"Larvae, Pollen",III-C-5,M,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-5,20,"Larvae, Pollen",III-A-6,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-4,20,"Larvae, Pollen",III-B-6,F,3/19/25,3/26/25,7,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-3,20,"Larvae, Pollen",III-C-6,F,3/19/25,3/24/25,5,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-2,20,"Larvae, Pollen",III-A-7,F,3/19/25,3/26/25,7,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MT,II-J-1,20,"Larvae, Pollen",III-B-7,F,3/19/25,3/22/25,3,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-H-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-G-1,,Pollen,,,,,,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-F-8,,"Larvae, Pollen",IV-A-1,M,3/19/25,3/23/25,4,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-F-7,,"Larvae, Pollen",IV-B-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-F-6,,"Larvae, Pollen",IV-C-1,M,3/19/25,3/21/25,2,,,,,,,,,
5/16/24,6/7/24,2,Mendels,MB,I-F-5,,Larvae,IV-A-2,F,3/19/25,3/26/25,7,,,,,,,,,
